"Proliferation signature","celltype","TMRE"
"FIB_high_1",7.54315433809088,"FIB","high"
"FIB_high_3",6.89682453029839,"FIB","high"
"FIB_high_4",6.96570334341469,"FIB","high"
"FIB_low_1",7.89682453029839,"FIB","low"
"FIB_low_3",7.05883330350668,"FIB","low"
"FIB_low_4",7.11140641150672,"FIB","low"
"ESC_high_2",22.5174715165443,"ESC","high"
"ESC_high_3",22.6640467347587,"ESC","high"
"ESC_high_4",21.6640467347587,"ESC","high"
"ESC_low_2",22.3965507561316,"ESC","low"
"ESC_low_3",22.2918901686194,"ESC","low"
"ESC_low_4",22.0040016627208,"ESC","low"
